customer_id,province,city,district,street_name,home_number,last_update
C00035,New York,Etna,Tompkins,Lara Port,698,2024-01-16 18:16:22
C00036,Florida,Pensacola,Escambia,Kevin Island,9271,2024-01-15 23:52:22
C00036,Texas,Burkburnett,Wichita,Franco Springs,46301,2024-01-15 23:52:22
C00037,Kansas,Alden,Rice,Page Extensions,2383,2024-01-29 08:29:19
C00037,Washington,Camano Island,Island,Martin Freeway,91218,2024-01-29 08:29:19
C00038,Arkansas,Romance,White,Zachary Passage,98322,2024-02-02 14:18:36
C00039,Iowa,Steamboat Rock,Hardin,Gregory Alley,18676,2024-01-29 01:21:03
C00039,Oklahoma,Lehigh,Coal,Wilson Burgs,987,2024-01-29 01:21:03
C00040,Indiana,Lagrange,Lagrange,Lopez Lights,40384,2024-01-09 21:00:03
C00041,Indiana,Otterbein,Benton,Brittany Throughway,74682,2024-02-05 21:00:45
C00042,Indiana,Lagrange,Lagrange,Leslie Lodge,510,2024-01-19 22:31:05
C00043,Tennessee,Quebeck,White,James Trail,76205,2024-01-06 08:44:21
C00043,New York,Catskill,Greene,Harding Summit,671,2024-01-06 08:44:21
C00044,Texas,Ranger,Eastland,Compton Skyway,6411,2024-01-03 15:10:21
C00045,New Mexico,Cedarvale,Torrance,Rebecca Lock,4113,2024-01-20 06:05:43
C00045,California,Santa Margarita,San Luis Obispo,Smith Mission,516,2024-01-20 06:05:43
C00046,Connecticut,Darien,Fairfield,Williams Ridges,58366,2024-01-14 08:10:20
C00046,Minnesota,Fulda,Murray,Kelly Divide,8999,2024-01-14 08:10:20
C00047,Wisconsin,Marshfield,Wood,Allison Plains,8889,2024-01-17 11:02:12
C00048,West Virginia,Rupert,Greenbrier,Thomas Springs,791,2024-02-02 02:21:12
C00049,New York,Port Ewen,Ulster,Johnson Unions,625,2024-01-14 05:59:41
C00049,Connecticut,New Milford,Litchfield,Anthony Port,6093,2024-01-14 05:59:41
C00050,Washington,Carlton,Okanogan,Gibson Roads,982,2024-01-16 01:06:04
C00050,Texas,Dougherty,Floyd,Smith Common,95,2024-01-16 01:06:04
C00051,New York,Winthrop,Saint Lawrence,Rogers Island,77741,2024-01-20 09:25:15
C00051,Kentucky,Burlington,Boone,Tracy Lights,211,2024-01-20 09:25:15
C00052,Arkansas,Alpine,Clark,Juan Rest,962,2024-01-25 06:51:42
C00052,Pennsylvania,Burnt Cabins,Fulton,Adams Estates,97589,2024-01-25 06:51:42
C00053,Ohio,Westlake,Cuyahoga,Le Lakes,2185,2024-01-07 10:54:58
C00053,New York,Hopewell Junction,Dutchess,Watson Village,56820,2024-01-07 10:54:58
C00054,Kentucky,Cromwell,Ohio,Crawford Alley,900,2024-02-07 07:30:00
C00055,West Virginia,Gilbert,Mingo,Ortiz Center,2324,2024-02-01 15:59:02
C00056,New York,Bloomville,Delaware,Samantha Ridge,4001,2024-01-24 14:39:05
C00057,Mississippi,Piney Woods,Rankin,Haley Stravenue,3126,2024-01-19 23:31:31
C00057,Missouri,Hazelwood,Saint Louis,Perry Plains,710,2024-01-19 23:31:31
C00058,Michigan,Allen Park,Wayne,Hahn Row,11,2024-01-19 05:03:52
C00058,New York,North Tonawanda,Niagara,Villegas Ridge,71152,2024-01-19 05:03:52
C00059,South Carolina,Cowpens,Spartanburg,Perez Viaduct,923,2024-01-27 12:46:48
C00060,Colorado,San Pablo,Costilla,Antonio Cliffs,9500,2024-01-29 09:04:17
C00060,California,Walnut Grove,Sacramento,Scott Squares,189,2024-01-29 09:04:17
C00061,Vermont,Chester Depot,Windsor,Perez Rue,98769,2024-01-18 07:13:45
C00062,New York,Lake Pleasant,Hamilton,Anderson Glens,7161,2024-01-19 08:06:10
C00062,Alaska,Craig,Prince Wales Ketchikan,Tiffany Flats,8131,2024-01-19 08:06:10
C00063,Florida,Osteen,Volusia,Walker Falls,74357,2024-01-14 11:15:03
C00064,Minnesota,Edgerton,Pipestone,Savage Drive,8064,2024-01-15 16:30:16
C00065,North Dakota,Bismarck,Burleigh,Williams Meadow,3983,2024-01-22 11:10:31
C00066,Georgia,Vidalia,Toombs,Amy Fall,3646,2024-01-22 15:21:19
C00067,North Carolina,Bellarthur,Pitt,Sean Mills,657,2024-01-21 20:24:08
C00067,Texas,Kingsbury,Guadalupe,Gomez Lakes,2392,2024-01-21 20:24:08
C00068,North Carolina,Thomasville,Davidson,Barrera Islands,7409,2024-01-30 17:24:05
C00069,Kansas,Windom,Mcpherson,Pamela Courts,17861,2024-02-03 21:01:15
C00069,Missouri,Old Appleton,Cape Girardeau,Douglas Valley,7602,2024-02-03 21:01:15
C00070,Illinois,Mode,Shelby,Calhoun Island,1201,2024-01-08 15:28:24
C00071,Maryland,Myersville,Frederick,Wiggins Circle,26015,2024-01-04 22:36:24
C00072,Iowa,Storm Lake,Buena Vista,Rebecca Key,947,2024-01-12 09:31:58
C00072,Illinois,Edelstein,Peoria,Johnson Haven,71732,2024-01-12 09:31:58
C00073,Oregon,Junction City,Lane,Schneider Fort,100,2024-01-29 05:14:31
C00074,California,Witter Springs,Lake,Mejia Bridge,91045,2024-01-17 22:59:39
C00075,North Carolina,Murphy,Cherokee,William Square,1184,2024-01-30 13:42:00
C00075,Georgia,Cave Spring,Floyd,Stephanie Shoal,9928,2024-01-30 13:42:00
C00076,Ohio,Smithfield,Jefferson,Parks Junctions,5610,2024-01-18 20:45:14
C00077,Tennessee,Como,Henry,Dawn Locks,680,2024-02-02 16:15:54
C00078,Texas,Mathis,San Patricio,Williams Square,78423,2024-02-01 04:29:10
C00079,North Carolina,Poplar Branch,Currituck,Atkins Brooks,67762,2024-01-19 15:26:51
C00080,Florida,Immokalee,Collier,Poole Cliffs,3654,2024-02-09 04:29:14
C00080,Indiana,Brownsburg,Hendricks,Rachel Ferry,1784,2024-02-09 04:29:14
C00081,Washington,Nine Mile Falls,Spokane,Jeffery Forges,5110,2024-01-12 07:32:30
C00082,South Carolina,Chappells,Newberry,Combs Cape,3088,2024-01-29 19:14:27
C00083,Texas,Weimar,Colorado,Olivia Crescent,66732,2024-01-22 23:17:25
C00083,Indiana,Valparaiso,Porter,Juan Springs,7598,2024-01-22 23:17:25
C00084,Maryland,College Park,Prince Georges,Morris Port,12996,2024-01-13 04:02:27
C00084,Illinois,Melvin,Ford,Jackson Cape,36202,2024-01-13 04:02:27
C00085,Louisiana,Hammond,Tangipahoa,Murray Mountain,92071,2024-01-07 21:02:25
C00086,Ohio,Blue Rock,Muskingum,Henry Meadows,219,2024-01-16 19:52:34
C00086,New York,Hall,Ontario,Carlos Pine,89705,2024-01-16 19:52:34
C00087,Tennessee,Kingston Springs,Cheatham,Lewis Landing,8819,2024-01-20 04:16:27
C00088,Oklahoma,Hendrix,Bryan,Jackson Spurs,68800,2024-01-16 12:56:29
C00088,Connecticut,Hanover,New London,Stark Neck,931,2024-01-16 12:56:29
C00089,New York,Auburn,Cayuga,Nolan Unions,454,2024-02-04 00:30:10
C00090,South Carolina,Wadmalaw Island,Charleston,Diane Passage,27200,2024-01-11 08:50:52
C00090,Missouri,Prairie Home,Cooper,Andrea Ridges,8232,2024-01-11 08:50:52
C00091,Alabama,Maplesville,Chilton,Ramirez Harbors,328,2024-01-30 16:38:39
C00092,Alabama,Palmerdale,Jefferson,Carl Lake,930,2024-01-30 11:09:36
C00092,Georgia,Sargent,Coweta,Jill Street,20304,2024-01-30 11:09:36
C00093,Arizona,Valentine,Mohave,David Mill,5213,2024-01-20 07:41:29
C00093,Indiana,Hagerstown,Wayne,Robbins Canyon,81650,2024-01-20 07:41:29
C00094,Connecticut,Stamford,Fairfield,King Flat,5937,2024-01-28 09:40:18
C00095,Wisconsin,Johnson Creek,Jefferson,Cheryl Fork,10291,2024-02-06 02:50:26
C00096,Colorado,Sargents,Saguache,Terry Lane,29,2024-02-04 23:30:46
C00096,New York,Connelly,Ulster,David Turnpike,43841,2024-02-04 23:30:46
C00097,Michigan,North Star,Gratiot,Laurie Flats,67080,2024-01-28 20:33:27
C00098,West Virginia,Sod,Lincoln,Skinner Lock,636,2024-01-14 13:19:51
C00098,North Carolina,Granite Falls,Caldwell,Christopher Passage,5504,2024-01-14 13:19:51
C00099,Indiana,La Porte,La Porte,Maxwell Tunnel,4076,2024-01-27 02:54:42
C00100,Connecticut,North Westchester,New London,Petty Spur,9339,2024-01-26 07:47:36
C00101,Virginia,Front Royal,Warren,Cooper Hollow,962,2024-01-05 07:15:02
C00101,Ohio,Blue Creek,Adams,Lopez Vista,62611,2024-01-05 07:15:02
C00102,North Carolina,Bellarthur,Pitt,Wade Village,585,2024-01-28 22:18:04
C00102,Oklahoma,Verden,Grady,Nunez Courts,880,2024-01-28 22:18:04
C00103,Wisconsin,Sauk City,Sauk,Jodi Lodge,34199,2024-01-25 06:17:31
C00104,Wisconsin,Barronett,Barron,Baker Flats,532,2024-01-09 15:16:20
C00104,Illinois,Glencoe,Cook,Valentine Ferry,583,2024-01-09 15:16:20
C00105,Oregon,Columbia City,Columbia,Lisa Garden,15876,2024-02-02 17:29:32
C00105,Michigan,Allen Park,Wayne,Nathaniel Stravenue,5769,2024-02-02 17:29:32
C00106,Ohio,Grand River,Lake,Matthews Stravenue,5353,2024-01-30 19:05:39
C00106,Michigan,White Lake,Oakland,Wood Mountains,6698,2024-01-30 19:05:39
C00107,Massachusetts,Ocean Bluff,Plymouth,Martinez Fall,4508,2024-01-17 02:11:08
C00108,Nebraska,Rushville,Sheridan,Romero Via,2692,2024-01-11 12:01:57
C00108,Virginia,Verona,Augusta,Buchanan Landing,664,2024-01-11 12:01:57
C00109,Illinois,Jewett,Cumberland,Alexander Ways,2359,2024-01-18 21:59:51
C00109,Nevada,West Wendover,Elko,Joseph Lights,40489,2024-01-18 21:59:51
C00110,Pennsylvania,Chambersville,Indiana,John Estate,1454,2024-02-06 10:57:16
C00111,Michigan,Elwell,Gratiot,Robinson Trail,3100,2024-01-27 21:39:15
C00112,Kansas,Elbing,Butler,Tyler Pines,2211,2024-01-19 01:06:19
C00113,Iowa,Laurel,Marshall,Flores Fords,4268,2024-01-11 11:28:59
C00113,California,Santa Rosa,Sonoma,Green Vista,701,2024-01-11 11:28:59
C00114,Hawaii,Ninole,Hawaii,Heather Loop,2377,2024-02-06 17:38:07
C00115,Oklahoma,Wakita,Grant,Russell Fields,140,2024-01-22 16:36:44
C00116,Iowa,Shell Rock,Butler,Ochoa Via,8105,2024-01-31 16:42:50
C00116,Massachusetts,Roslindale,Suffolk,Banks Shoals,272,2024-01-31 16:42:50
C00117,Alabama,Hatchechubbee,Russell,Bates Fields,60943,2024-01-17 02:34:55
C00118,South Carolina,Belton,Anderson,Kathryn Pines,172,2024-01-10 08:40:54
C00119,North Carolina,Wise,Warren,Bell Drives,620,2024-01-21 20:16:13
C00120,Pennsylvania,Moshannon,Centre,Barbara Roads,3525,2024-01-24 02:47:52
C00121,Pennsylvania,East Brady,Clarion,Renee Drive,27393,2024-01-26 07:34:54
C00121,Missouri,Altenburg,Cape Girardeau,Aaron Lakes,3532,2024-01-26 07:34:54
C00122,Missouri,Prairie Home,Cooper,Terrence Course,87082,2024-02-07 13:37:14
C00123,North Carolina,Winnabow,Brunswick,Maria Flats,107,2024-01-09 11:13:24
C00124,West Virginia,Mount Alto,Mason,Patricia Point,821,2024-01-09 01:19:47
C00125,Kentucky,Hudson,Breckinridge,Leblanc Track,8467,2024-01-27 21:34:55
C00125,Massachusetts,Barnstable,Barnstable,Mark Terrace,2233,2024-01-27 21:34:55
C00126,Iowa,Imogene,Fremont,Cynthia Throughway,442,2024-02-02 01:44:46
C00126,Florida,Branford,Suwannee,Castro Skyway,922,2024-02-02 01:44:46
C00127,South Carolina,Kinards,Newberry,White River,3506,2024-01-14 23:38:49
C00128,New York,Quaker Street,Schenectady,Marissa Roads,731,2024-01-24 02:08:00
C00128,North Carolina,Hudson,Caldwell,Amanda Groves,7413,2024-01-24 02:08:00
C00129,Rhode Island,Foster,Providence,Todd Island,84185,2024-01-09 04:42:15
C00129,Louisiana,Sugartown,Beauregard,Alexander Shoals,36260,2024-01-09 04:42:15
C00130,Utah,Brian Head,Iron,Sandoval Lights,54705,2024-01-05 04:06:52
C00130,Kansas,Glasco,Cloud,King Cliffs,15164,2024-01-05 04:06:52
C00131,California,Santa Cruz,Santa Cruz,Rivera Groves,91969,2024-01-21 00:48:21
C00132,Illinois,Belvidere,Boone,Brian Unions,20426,2024-01-11 08:16:35
C00132,Alabama,Maylene,Shelby,Elizabeth Cliffs,712,2024-01-11 08:16:35
C00133,South Dakota,Oldham,Kingsbury,Ashley Terrace,696,2024-02-04 09:08:01
C00134,South Dakota,Custer,Custer,Ashley Pike,3126,2024-01-17 19:56:14
C00135,Louisiana,Boothville,Plaquemines,David Run,759,2024-01-06 10:37:55
C00135,Illinois,Flora,Clay,Wong Manor,3394,2024-01-06 10:37:55
C00136,Iowa,Correctionville,Woodbury,Darius Course,654,2024-02-01 15:51:45
C00137,Oklahoma,Hendrix,Bryan,White Crossing,2191,2024-01-29 22:56:51
C00137,Pennsylvania,Aultman,Indiana,Wilkinson Trail,7644,2024-01-29 22:56:51
C00138,Illinois,Sciota,Mcdonough,Smith Causeway,26876,2024-02-04 16:04:31
C00138,Indiana,Buffalo,White,Parker Shores,7649,2024-02-04 16:04:31
C00139,Virginia,Mascot,King And Queen,Robert Flats,5604,2024-01-27 19:46:59
C00140,Minnesota,Emmons,Freeborn,Johnson Lodge,55373,2024-02-04 06:04:02
C00140,Ohio,Rushsylvania,Logan,Brianna Lights,9692,2024-02-04 06:04:02
C00141,North Dakota,Hannah,Cavalier,Alexander Creek,952,2024-01-02 17:25:02
C00142,Oklahoma,Arkoma,Le Flore,Heather Ramp,255,2024-02-01 15:26:36
C00143,Pennsylvania,Slippery Rock,Butler,Evan Estates,6364,2024-01-15 15:44:15
C00143,Indiana,Goshen,Elkhart,Vanessa Walk,9489,2024-01-15 15:44:15
C00144,California,Woodbridge,San Joaquin,Carr Keys,6634,2024-01-10 19:14:08
C00144,Mississippi,Booneville,Prentiss,Molina Well,3441,2024-01-10 19:14:08
C00145,West Virginia,Nebo,Clay,Salazar Locks,993,2024-01-17 19:55:59
C00145,Texas,Cumby,Hopkins,Martha Walks,4974,2024-01-17 19:55:59
C00146,New Jersey,Vineland,Cumberland,Smith Trace,822,2024-01-29 00:58:42
C00147,Arkansas,Charleston,Franklin,Brandon Isle,629,2024-01-24 00:37:09
C00147,Texas,Euless,Tarrant,Cummings Forge,889,2024-01-24 00:37:09
C00148,Hawaii,Kealia,Kauai,Tammy Trace,720,2024-02-08 20:24:09
C00148,Minnesota,Walnut Grove,Redwood,Darius Neck,75485,2024-02-08 20:24:09
C00149,New York,Poestenkill,Rensselaer,Rogers Union,220,2024-01-28 12:22:54
C00150,Washington,Liberty Lake,Spokane,Charles Light,29390,2024-02-01 16:58:25
C00151,South Dakota,Spencer,Mccook,Donald Street,1213,2024-01-03 09:47:03
C00152,Connecticut,Putnam,Windham,Rice Ranch,3595,2024-01-19 10:25:19
C00152,Colorado,Buffalo Creek,Jefferson,Maynard Point,1993,2024-01-19 10:25:19
C00153,Ohio,Botkins,Shelby,Lopez Square,6631,2024-01-17 09:24:05
C00154,Delaware,Yorklyn,New Castle,Nicole Hill,36220,2024-01-19 19:16:10
C00154,North Carolina,Asheboro,Randolph,James Mount,2463,2024-01-19 19:16:10
C00155,Florida,Dunedin,Pinellas,Andrew Fort,796,2024-01-14 09:14:01
C00155,Ohio,Cincinnati,Clermont,Harrington Plains,8529,2024-01-14 09:14:01
C00156,Texas,Orange,Orange,Eric Valley,177,2024-01-27 11:47:01
C00157,Mississippi,Piney Woods,Rankin,Kevin Ville,238,2024-01-20 05:12:39
C00157,Vermont,Granby,Essex,Valentine Estates,89466,2024-01-20 05:12:39
C00158,Texas,Weimar,Colorado,James Dale,293,2024-01-21 23:39:14
C00158,Illinois,Glencoe,Cook,Derek Dale,6913,2024-01-21 23:39:14
C00159,Ohio,Port Jefferson,Shelby,Natalie Forks,33467,2024-01-18 06:28:32
C00160,California,Dorris,Siskiyou,Logan Lakes,76279,2024-01-12 06:43:30
C00160,Georgia,Sargent,Coweta,Potter Island,2453,2024-01-12 06:43:30
C00161,North Dakota,Fort Ransom,Ransom,Christian Extensions,98472,2024-01-18 21:02:44
C00161,North Carolina,Asheboro,Randolph,Anthony Groves,202,2024-01-18 21:02:44
C00162,New Hampshire,North Walpole,Cheshire,Christopher Stravenue,22405,2024-02-04 00:47:42
C00162,Missouri,Madison,Monroe,Scott Wells,648,2024-02-04 00:47:42
C00163,Wisconsin,Kenosha,Kenosha,May Spurs,5461,2024-01-13 23:11:04
C00163,Colorado,Coaldale,Fremont,Sara Causeway,5838,2024-01-13 23:11:04
C00164,Missouri,Hale,Carroll,Moore Springs,2581,2024-01-09 01:51:50
C00165,Maryland,Rockville,Montgomery,Cruz Trace,448,2024-01-16 23:27:58
C00166,South Carolina,Bluffton,Beaufort,Courtney Mission,121,2024-01-17 19:03:29
C00167,Arkansas,Lamar,Johnson,Christopher Causeway,87803,2024-01-27 23:32:13
C00168,Alaska,Chignik Lake,Lake And Peninsula,Elizabeth Cliffs,740,2024-01-31 23:23:08
C00168,Idaho,Payette,Payette,Carmen Knoll,99945,2024-01-31 23:23:08
C00169,Kansas,Cedar,Smith,Troy Extensions,27643,2024-01-17 09:47:39
C00169,South Carolina,Blenheim,Marlboro,Angela Falls,5422,2024-01-17 09:47:39
C00170,Iowa,Riceville,Howard,Garza Rue,3308,2024-01-25 13:31:33
C00170,New Jersey,Buena,Atlantic,James Highway,4704,2024-01-25 13:31:33
C00171,Pennsylvania,Newmanstown,Lebanon,Romero Prairie,470,2024-01-26 22:56:13
C00171,Virginia,Onancock,Accomack,Alex Landing,685,2024-01-26 22:56:13
C00172,Mississippi,Morton,Scott,Crawford Road,266,2024-02-10 00:40:05
C00172,Illinois,Beecher,Will,Ernest Wells,563,2024-02-10 00:40:05
C00173,Kentucky,Gilbertsville,Marshall,Norton Estate,9206,2024-02-07 23:11:13
C00174,Michigan,Whittaker,Washtenaw,Lisa Dale,59229,2024-02-03 05:30:19
C00175,New Hampshire,Danbury,Merrimack,Robinson Drive,559,2024-01-10 06:24:31
C00175,Texas,High Island,Galveston,Hall Gardens,2629,2024-01-10 06:24:31
C00176,Missouri,Calhoun,Henry,Ryan Club,4980,2024-01-08 06:32:40
C00176,Georgia,Lawrenceville,Gwinnett,Davis Ford,138,2024-01-08 06:32:40
C00177,Oregon,Siletz,Lincoln,Janet Estate,12212,2024-01-20 21:08:16
C00178,West Virginia,Baxter,Marion,Jennifer Plain,68687,2024-01-23 15:52:20
C00179,Mississippi,Hurley,Jackson,Alyssa Greens,806,2024-01-17 13:32:33
C00179,Colorado,Rangely,Rio Blanco,Zhang Terrace,629,2024-01-17 13:32:33
C00180,Connecticut,Derby,New Haven,Sanchez Island,566,2024-02-05 23:51:32
C00180,Massachusetts,Petersham,Worcester,Bautista Locks,419,2024-02-05 23:51:32
C00181,Michigan,Richville,Tuscola,Daniel Divide,622,2024-01-14 13:13:25
C00181,Oklahoma,Cartwright,Bryan,James Brook,1042,2024-01-14 13:13:25
C00182,New Hampshire,Woodstock,Grafton,Juan Oval,911,2024-02-03 08:00:24
C00183,Tennessee,Bybee,Cocke,Huffman Mission,69999,2024-01-13 00:26:57
C00184,Arizona,Fort Apache,Navajo,Willie Flat,80036,2024-01-04 08:32:56
C00185,Iowa,Gilbertville,Black Hawk,Ortiz Street,200,2024-02-03 21:40:59
C00185,Pennsylvania,Slippery Rock,Butler,Michael Flat,285,2024-02-03 21:40:59
C00186,Oregon,Siletz,Lincoln,Marc Cape,2438,2024-01-17 08:28:49
C00187,Kentucky,Royalton,Magoffin,Tran Estates,9299,2024-01-23 19:37:16
C00188,Texas,Comfort,Kendall,Brian Locks,627,2024-02-02 20:47:19
C00189,Louisiana,Robert,Tangipahoa,Megan Ford,963,2024-01-21 12:23:39
C00189,New Jersey,Franklinville,Gloucester,Lisa Lodge,185,2024-01-21 12:23:39
C00190,Pennsylvania,Birdsboro,Berks,Thompson Motorway,36841,2024-01-20 07:01:27
C00190,Kentucky,Melbourne,Campbell,Teresa Field,82339,2024-01-20 07:01:27
C00191,Tennessee,Germantown,Shelby,Michael Ferry,9187,2024-01-05 17:59:41
C00192,Virginia,Shacklefords,King And Queen,Erickson Track,67,2024-01-20 23:26:53
C00192,Texas,Carbon,Eastland,Cruz Run,65920,2024-01-20 23:26:53
C00193,Utah,Brian Head,Iron,Wright Club,279,2024-01-19 02:27:49
C00193,Vermont,Townshend,Windham,Huber Crescent,8159,2024-01-19 02:27:49
C00194,West Virginia,Exchange,Braxton,Bell Parks,2665,2024-02-03 03:01:43
C00194,Michigan,Fountain,Mason,Ferguson Track,95912,2024-02-03 03:01:43
C00195,Oklahoma,Leflore,Le Flore,Matthew Fork,460,2024-01-15 14:06:56
C00195,New York,Stuyvesant Falls,Columbia,Rojas Dale,907,2024-01-15 14:06:56
C00196,Wisconsin,Kenosha,Kenosha,Henderson Hollow,79967,2024-01-22 19:48:12
C00197,New York,Mooers Forks,Clinton,Parker Springs,4859,2024-02-07 06:56:27
C00198,West Virginia,Flemington,Taylor,Leah Unions,416,2024-02-01 06:16:48
C00199,North Carolina,Morrisville,Wake,Clark Street,881,2024-01-15 14:48:08
C00200,Pennsylvania,Vanderbilt,Fayette,Stewart Turnpike,286,2024-02-10 20:42:38
C00200,New York,Northport,Suffolk,Mark Extension,2627,2024-02-10 20:42:38
C00201,Virginia,Drewryville,Southampton,Andrew Plains,48458,2024-01-17 03:52:38
C00202,Missouri,Carterville,Jasper,Kayla Alley,898,2024-01-24 21:28:19
C00202,Ohio,Spencer,Medina,Nancy Unions,57488,2024-01-24 21:28:19
C00203,Indiana,Griffith,Lake,Christine Street,4185,2024-02-05 12:44:49
C00204,New Jersey,Glen Gardner,Hunterdon,Kramer Bridge,3056,2024-02-01 09:21:33
C00204,North Carolina,Seaboard,Northampton,Garcia Ways,530,2024-02-01 09:21:33
C00205,California,Santa Margarita,San Luis Obispo,Hughes Court,493,2024-01-06 19:25:59
C00205,Ohio,Groveport,Franklin,Irwin Shores,6790,2024-01-06 19:25:59
C00206,Oklahoma,Langston,Logan,Desiree Pines,2600,2024-02-07 18:47:36
C00207,Texas,Redwater,Bowie,Brandon Groves,4429,2024-01-12 23:20:56
C00208,Florida,Fort Mc Coy,Marion,Blevins Points,5240,2024-01-21 23:44:03
C00209,Missouri,Calhoun,Henry,Thomas Tunnel,15599,2024-01-22 06:56:11
C00209,Alaska,Kasigluk,Bethel,Brennan Dam,6222,2024-01-22 06:56:11
C00210,Pennsylvania,Valley Forge,Montgomery,Chelsea Isle,34704,2024-01-07 08:56:07
C00210,Texas,Shelbyville,Shelby,Parker Loaf,8455,2024-01-07 08:56:07
C00211,Pennsylvania,Drums,Luzerne,Carolyn Islands,13835,2024-01-17 15:53:55
C00212,California,Herlong,Lassen,Cook Keys,12900,2024-01-22 23:00:50
C00213,Arkansas,Winslow,Washington,Sarah Cliff,732,2024-01-30 19:35:15
C00213,Alabama,Hollytree,Jackson,Simpson Manors,8839,2024-01-30 19:35:15
C00214,Pennsylvania,Picture Rocks,Lycoming,Jackson Prairie,425,2024-01-19 01:36:03
C00214,Connecticut,Milldale,Hartford,Jennifer Island,61857,2024-01-19 01:36:03
C00215,Illinois,Troy,Madison,Mendez Mission,5080,2024-01-28 08:24:33
C00215,California,Little Lake,Inyo,Parker Course,7744,2024-01-28 08:24:33
C00216,New York,South Glens Falls,Saratoga,Barton Hills,8417,2024-01-12 10:49:17
