purchase_id,customer_id,product_id,quantity,total_price,recipient_name,recipient_phone,province,city,district,street_name,house_number,purchase_time
PR0006571,C00416,P0001444,3,546.12,Kelli Lee,324-318-5260,Illinois,Lakewood,Shelby,Williams Hills,244,2024-05-15 16:59:18
PR0002245,C02111,P0001543,1,46.35,Jessica Smith,576-660-7353,North Carolina,Jamestown,Guilford,Sierra Spurs,80598,2024-05-04 13:40:54
PR0000036,C01268,P0001552,3,46.68,John Anderson,804-673-1270,Michigan,Hermansville,Menominee,Julia Lodge,4742,2024-04-23 23:49:44
PR0001505,C00610,P0001558,1,239.52,Marie Davidson,956-473-6948,Arkansas,Pencil Bluff,Montgomery,Brittany Throughway,74682,2024-04-24 14:44:35
PR0001946,C02244,P0001630,3,80.85,Dennis Weaver,243-789-7585,Michigan,Kalamazoo,Kalamazoo,Anna Ridges,72845,2024-05-04 20:16:58
PR0006584,C04705,P0001645,1,5.98,Renee Wolfe,230-229-3078,Pennsylvania,Black Lick,Indiana,Brown Underpass,62595,2024-05-07 01:59:31
PR0007095,C04468,P0001657,5,214.95,Ashley Wilson,816-273-5210,Alabama,Tanner,Limestone,Mays Road,55904,2024-05-06 06:03:05
PR0008074,C02631,P0001666,1,9.57,Gabriella Knight,913-994-9656,Utah,Smithfield,Cache,Patrick Flat,67631,2024-04-29 03:50:40
PR0008328,C03044,P0001692,1,11.96,Beverly Powell,452-278-9637,Pennsylvania,Drums,Luzerne,Singh Route,59137,2024-04-17 19:37:50
PR0001137,C01726,P0001712,1,525.75,Johnny Duncan,717-996-3887,Minnesota,Max,Itasca,Richard Flat,965,2024-05-01 22:26:33
PR0000727,C04361,P0001743,2,76.64,Allen Webster,539-840-5648,Pennsylvania,Lewisburg,Union,Willis Drives,54,2024-04-19 19:26:18
PR0001843,C03220,P0001797,2,598.78,Mark Warren Jr.,999-818-8574,Georgia,Tarrytown,Montgomery,Ross Hill,64485,2024-04-16 10:06:36
PR0000324,C00219,P0001841,3,197.58,Andrew Wells,580-502-6163,Illinois,Flora,Clay,Alec Views,625,2024-05-07 06:15:32
PR0006889,C02804,P0001901,2,8.56,Melissa Rivas,314-462-6025,West Virginia,Gilbert,Mingo,Hardy View,979,2024-05-03 14:09:52
PR0006915,C02311,P0001936,1,2.38,Jason Mayer,276-982-6588,Alabama,Newton,Dale,Benjamin Shoals,78,2024-04-24 01:07:39
PR0005584,C00421,P0002004,1,27.07,Emma Collins,894-791-1560,Hawaii,Laupahoehoe,Hawaii,Erin Radial,6203,2024-05-04 07:53:52
PR0000656,C05882,P0002025,2,37.1,Jessica Vaughn,287-306-9269,Arkansas,Huttig,Union,William Neck,2883,2024-05-10 00:42:27
PR0006573,C02299,P0002045,1,31.14,Laura Jackson,982-631-1623,Alabama,Belk,Fayette,Smith Manor,86948,2024-04-29 21:12:34
PR0006655,C05667,P0002047,3,106.89,Daniel Moore,224-590-4460,Texas,Cumby,Hopkins,Kristin Coves,782,2024-05-07 22:24:47
PR0003498,C01854,P0002050,1,25.45,Lisa Reid,848-238-9071,New York,South Richmond Hill,Queens,Keith Meadow,119,2024-04-25 22:03:58
PR0007861,C04809,P0002061,2,44.32,Jeremy Turner,406-713-5707,Georgia,Calvary,Grady,Evans Centers,3959,2024-05-02 08:39:41
PR0001024,C03234,P0002068,1,11.96,James Hamilton,230-429-9763,New Hampshire,Ashland,Grafton,Hannah Summit,63813,2024-04-20 04:54:35
PR0002557,C00128,P0002100,2,263.44,Nancy Harris,225-855-9631,Arizona,San Simon,Cochise,Charles Park,30376,2024-05-09 05:14:23
PR0004828,C00307,P0002154,3,6.96,Samantha Price,384-297-5666,Ohio,Stryker,Williams,Timothy Branch,35084,2024-04-26 15:40:25
PR0002136,C05159,P0002163,1,118.44,Sara Erickson,386-946-1575,Wisconsin,Elroy,Juneau,Jonathan Squares,609,2024-05-15 10:39:42
PR0003720,C03067,P0002174,1,2.4,Eric Gonzalez,719-869-9799,South Dakota,Mc Laughlin,Corson,Thompson Forest,614,2024-05-08 12:39:21
PR0007505,C06080,P0002217,2,35.9,Amber Martin,647-617-6396,Pennsylvania,Houtzdale,Clearfield,Traci Unions,768,2024-04-28 02:53:18
PR0007866,C04979,P0002242,2,239.52,Joshua Hernandez,221-509-3615,Wisconsin,La Farge,Vernon,Mitchell Pike,22489,2024-04-25 20:32:13
PR0000422,C02474,P0002285,2,92.94,Heather Nunez,800-340-8625,Ohio,Ontario,Richland,Thompson Hill,513,2024-04-22 21:16:44
PR0001794,C02534,P0002299,2,134.14,Clinton Moore,572-740-7168,Iowa,Jewell,Hamilton,Brittany Branch,788,2024-04-22 04:43:41
PR0000181,C05139,P0002351,1,4.49,Emily Jones DDS,309-837-8373,Oregon,Sandy,Clackamas,Henry Inlet,51081,2024-05-02 15:37:22
PR0005358,C02574,P0002411,1,35.92,Julie Patel,299-678-5408,Illinois,Boles,Johnson,Hayes Land,137,2024-05-02 04:22:50
PR0002232,C06103,P0002478,2,7.16,Paula Carlson,242-803-2985,New York,East Berne,Albany,Gonzalez Shore,34338,2024-04-17 03:14:04
PR0002314,C04275,P0002495,2,343.96,Brenda Ramos,313-236-1394,North Carolina,Stovall,Granville,Jackson Hollow,13223,2024-05-13 19:35:50
PR0007748,C04751,P0002557,1,2.98,Diane Jones,517-846-1894,Connecticut,Old Mystic,New London,Wilson Corner,92268,2024-04-29 17:43:01
PR0001933,C02149,P0002620,1,47.84,Linda Gillespie,885-538-2576,Minnesota,Edgerton,Pipestone,Lopez Locks,8723,2024-04-19 16:34:40
PR0005803,C06289,P0002623,1,17.95,Raymond Griffin,481-520-8195,Arkansas,Black Rock,Lawrence,Angela Mountain,3594,2024-04-29 07:07:48
PR0006015,C02658,P0002624,5,61.4,Karen Nichols,343-597-8366,Maryland,Nanticoke,Wicomico,Tammy Mews,9608,2024-05-01 14:32:30
PR0008210,C06263,P0002627,2,317.36,Samantha Gardner,715-206-5475,Texas,Hughes Springs,Cass,Brock Parkway,704,2024-05-03 23:30:00
PR0007116,C05447,P0002630,1,15.57,Clinton Medina,618-858-9287,Tennessee,Deer Lodge,Morgan,Melissa Hills,270,2024-04-26 17:13:11
PR0001983,C01473,P0002788,1,49.7,Gary Brown,617-834-5335,Massachusetts,Menemsha,Dukes,Anthony Meadows,95431,2024-05-02 17:49:48
PR0006444,C04094,P0002800,2,64.22,Patricia Sanders,672-285-1198,California,Korbel,Humboldt,Melissa Shoals,37213,2024-04-20 03:52:11
PR0001403,C02524,P0002805,3,179.28,Christopher Guerra,373-862-7340,New Jersey,Norwood,Bergen,Anthony Fords,4103,2024-05-14 00:02:39
PR0004278,C02838,P0002930,1,8.37,Ellen Bradley,438-764-8964,Wisconsin,Elroy,Juneau,Thomas Islands,634,2024-04-27 10:54:49
PR0003078,C02385,P0002953,1,14.36,Christopher Wright,563-621-1178,Iowa,Quasqueton,Buchanan,Ray Roads,47156,2024-04-24 02:14:59
PR0008191,C04952,P0002977,2,11.96,Christopher Miller,710-204-1426,Ohio,Commercial Point,Pickaway,Zachary Square,70261,2024-05-02 00:16:21
PR0001670,C04236,P0002993,1,7.17,Nicole Marshall,232-910-6175,Vermont,Waterville,Lamoille,Kayla Skyway,3260,2024-05-03 13:01:03
PR0000407,C00198,P0003063,1,29.93,Diane Hill,751-824-7924,West Virginia,Flemington,Taylor,Leah Unions,416,2024-04-23 08:25:35
PR0003751,C06086,P0003155,1,15.56,Sarah Booth,954-444-8123,Missouri,Glencoe,Saint Louis,Andrea Vista,2147,2024-04-23 16:07:23
PR0002688,C05924,P0003159,1,4.07,Jeffrey Lyons,697-478-5248,Texas,White Oak,Gregg,Joseph Pike,889,2024-04-16 05:54:48
PR0004768,C04475,P0003208,1,5.98,Chad Green,606-934-6885,Utah,Cache Junction,Cache,Tommy Springs,81595,2024-05-05 02:34:07
PR0008065,C02350,P0003210,1,23.94,Brittany Farmer,565-258-1157,Pennsylvania,Boswell,Somerset,Torres Fork,373,2024-04-19 21:05:01
PR0004084,C02690,P0003224,1,239.52,Stephanie Wang,645-213-5887,Virginia,White Post,Clarke,Jessica Overpass,963,2024-04-23 04:54:40
PR0006906,C04302,P0003227,1,252.4,Erik Taylor,848-761-4625,Kentucky,Stopover,Pike,Michael Unions,1418,2024-04-20 04:09:00
PR0003971,C03341,P0003330,2,47.88,James Rodriguez,721-257-3522,North Dakota,Golden Valley,Mercer,Webster Forest,1129,2024-04-26 17:17:52
PR0000781,C03261,P0003345,2,35.9,Kelly Lee,458-390-1222,Washington,Tracyton,Kitsap,John Cliff,93865,2024-05-14 22:17:29
PR0005738,C02103,P0003393,1,47.84,Tracey Callahan,382-415-8936,California,Villa Park,Orange,Kimberly Ferry,390,2024-05-03 00:58:00
PR0006415,C01891,P0003401,1,2.98,Dawn Mullins,206-991-8296,Georgia,Newborn,Newton,Sutton Orchard,6310,2024-05-12 18:44:51
PR0008433,C03606,P0003530,1,11.96,Tamara May,274-780-4870,Tennessee,Erin,Houston,Garner Coves,3772,2024-04-17 14:02:03
PR0002241,C04130,P0003574,5,191.55,Ronald Castaneda,531-757-3434,Texas,Petrolia,Clay,Singleton Street,96259,2024-04-27 21:53:46
PR0004525,C02949,P0003586,1,76.53,Annette Green,933-722-7448,California,Potrero,San Diego,Harper Extensions,659,2024-05-09 02:05:22
PR0004167,C00767,P0003620,1,7.17,Debra Davidson,635-486-5032,Mississippi,Belden,Lee,Walker Field,44077,2024-05-05 00:58:11
PR0001064,C01590,P0003621,1,4.78,Todd Johnston,220-635-1004,Alaska,Kasigluk,Bethel,Turner Mission,13074,2024-05-13 19:00:27
PR0007846,C04371,P0003681,2,11.74,Patricia Marshall,865-981-3298,Texas,Azle,Parker,Anderson Canyon,6329,2024-05-13 20:10:33
PR0003114,C03796,P0003688,1,5.96,Candace Soto,594-762-9112,Oklahoma,Hooker,Texas,Patricia Drive,24286,2024-04-22 17:34:18
PR0003901,C04756,P0003702,1,11.96,William Stone,228-309-3007,New Mexico,La Loma,Guadalupe,Joseph Point,541,2024-04-24 03:27:28
PR0007278,C05605,P0003751,1,2.87,Colton Young,703-746-9247,West Virginia,Cameron,Marshall,Michael Port,988,2024-04-23 05:17:34
PR0004135,C02432,P0003761,3,35.88,Eric Clark,578-273-7563,New York,Lycoming,Oswego,Sean Valleys,7875,2024-05-07 22:20:45
PR0000869,C06310,P0003785,2,50.28,Tammy Taylor,754-884-5035,South Dakota,Grenville,Day,Dennis Square,49980,2024-04-18 14:56:06
PR0006409,C02146,P0003786,2,35.9,Heather Bowers,769-353-9688,Montana,Martin City,Flathead,Willie Throughway,8804,2024-04-28 20:40:03
PR0005851,C03698,P0003825,2,311.36,Dr. Hannah Patterson,562-295-8229,Iowa,Jewell,Hamilton,Hawkins Way,878,2024-05-05 02:50:58
PR0004110,C05003,P0003879,1,23.65,Paul Goodwin,474-735-1947,Illinois,Assumption,Christian,Noah Squares,7428,2024-04-15 09:36:22
PR0006102,C00980,P0003925,5,59.3,Alicia Kerr,269-993-5229,Texas,Bellevue,Clay,Mary Meadows,42293,2024-05-10 22:11:39
PR0006650,C05671,P0004017,1,167.6,Daniel Murphy,627-911-8506,Virginia,Callao,Northumberland,Nelson Ford,173,2024-05-14 19:07:14
PR0002040,C05410,P0004023,1,35.99,Edward Burgess,488-769-9009,Alabama,Goodsprings,Walker,Kimberly Drive,785,2024-05-09 08:20:43
PR0002367,C05709,P0004032,2,10.66,Hannah Good,466-476-1999,Missouri,Altenburg,Cape Girardeau,Hall Route,913,2024-05-09 15:34:12
PR0005829,C05378,P0004066,1,35.81,Joseph Daniels,366-717-5191,Indiana,Buffalo,White,Tammy Knolls,165,2024-05-02 17:33:45
PR0007842,C01032,P0004068,1,5.98,Angela Kelly,672-780-6544,Michigan,Ruth,Huron,Natalie Canyon,26425,2024-05-03 13:02:54
PR0007811,C00312,P0004091,3,26.91,Amanda Ross,751-208-2687,Utah,Teasdale,Wayne,Andrew Plains,48458,2024-04-20 18:06:02
PR0008020,C05286,P0004312,5,59.8,Marissa Spence,631-820-9871,Montana,Savage,Richland,Cox Locks,190,2024-05-05 15:06:02
PR0004263,C03844,P0004316,1,28.08,Shannon Walker,267-406-8055,Pennsylvania,Vanderbilt,Fayette,Dyer Turnpike,2500,2024-04-16 03:56:36
PR0006274,C03117,P0004442,1,125.75,Mary Cowan,698-959-8154,Connecticut,Cos Cob,Fairfield,Gary Throughway,2002,2024-04-19 15:33:58
PR0006034,C05879,P0004475,1,28.74,Shelia Solomon,282-594-3954,Maine,Stacyville,Penobscot,Campbell Cliffs,64964,2024-04-17 03:06:10
PR0004914,C00635,P0004488,2,359.28,Tanner Mitchell DDS,562-595-7562,Kansas,Winona,Logan,Best Flats,33,2024-05-15 03:41:52
PR0004940,C02204,P0004517,1,131.72,Hannah Martin,223-722-1717,Connecticut,Pequabuck,Litchfield,Solis Extensions,3308,2024-05-15 01:41:35
PR0001396,C00511,P0004688,1,154.43,Heather Conway,251-554-5459,Idaho,Declo,Cassia,English Roads,5922,2024-05-01 00:53:47
PR0007072,C06017,P0004694,1,47.9,Patrick Yang,867-909-3369,California,Bodfish,Kern,Mary Canyon,73106,2024-04-20 02:27:19
PR0007192,C03825,P0004702,1,287.31,Victoria Murray,700-922-2579,Pennsylvania,Mckeesport,Allegheny,Melissa Station,1042,2024-05-11 10:24:33
PR0006630,C02542,P0004713,2,7.16,Natalie Moore,969-415-8890,North Carolina,Jamestown,Guilford,Jacobs Stravenue,3487,2024-04-28 20:54:48
PR0001817,C05972,P0004740,1,22.16,Michael Martin,883-526-2891,North Dakota,Solen,Sioux,Cooper Cliff,9986,2024-04-21 11:07:13
PR0002652,C03286,P0004813,5,2529.95,Gregory Kim,800-925-7555,Tennessee,Pruden,Claiborne,Thomas Extension,5563,2024-05-04 11:00:22
PR0001699,C00395,P0004821,1,11.96,Brooke Walker,530-295-1693,Colorado,Beulah,Pueblo,Wright Falls,497,2024-04-16 17:21:10
PR0003341,C01803,P0004882,2,50.28,Gloria Green,278-803-8210,Virginia,West Mclean,Fairfax,Dickerson Route,97236,2024-04-28 16:33:06
PR0002508,C02511,P0005058,1,10.18,Nancy Ballard,569-754-6965,Virginia,Kents Store,Fluvanna,James Route,934,2024-05-05 09:49:12
PR0004240,C05503,P0005060,1,10.77,Charles Schultz,394-859-3573,Virginia,Coleman Falls,Bedford,April Junctions,81648,2024-04-30 06:52:13
PR0007627,C02195,P0005068,1,53.77,William Reyes,773-752-2501,New Jersey,High Bridge,Hunterdon,Duke Mountains,6060,2024-05-13 09:08:29
PR0001033,C06326,P0005158,1,13.16,Alyssa Brooks,422-830-4859,New Hampshire,Woodstock,Grafton,Erin Cliff,3167,2024-05-15 14:48:50
PR0001065,C05678,P0005273,1,269.34,Jason Thompson,523-832-2544,Texas,Tuleta,Bee,Monica Creek,79685,2024-05-11 16:20:08
PR0004191,C05089,P0005290,1,75.33,Allison Bradley,722-468-1257,Texas,Cumby,Hopkins,Crystal Isle,46074,2024-04-28 08:40:48
PR0005153,C05738,P0005343,1,4.78,Melissa Anderson,253-310-6056,Mississippi,Alligator,Bolivar,Stephanie Circle,367,2024-04-28 02:31:18
PR0007747,C00936,P0005358,1,4.78,Anthony Mcclain,848-544-1870,Alabama,Cedar Bluff,Cherokee,Larson Valleys,7811,2024-04-22 05:59:54
PR0003437,C01887,P0005413,2,14.62,Rachel Nelson,824-367-6767,Indiana,Petersburg,Pike,Howard Path,0,2024-04-29 03:13:07
PR0006209,C06006,P0005470,2,28.72,Zachary Alvarado,960-995-1036,Texas,Burlington,Milam,Jones Cove,2478,2024-04-26 05:41:18
PR0002284,C05065,P0005549,1,31.19,Julia Hanson,781-986-4420,Massachusetts,Attleboro Falls,Bristol,Hunt Fields,725,2024-04-25 08:44:14
PR0002730,C03313,P0005561,2,14.34,Kim Morrow,205-821-1218,New York,East Springfield,Otsego,Karen Extensions,84099,2024-04-16 12:07:02
PR0001146,C01958,P0005593,1,8.37,Monica Brooks,775-505-1231,North Carolina,Cove City,Craven,Steele Plain,1550,2024-05-12 20:33:10
PR0007833,C05972,P0005656,1,263.47,Michael Martin,646-635-4623,North Dakota,Solen,Sioux,Cooper Cliff,9986,2024-05-10 13:58:33
PR0007381,C01093,P0005713,3,17.94,Don Tucker MD,980-364-3800,Virginia,The Plains,Fauquier,Ramsey Ville,2980,2024-05-05 23:59:21
PR0004053,C04058,P0005746,3,89.79,Anthony Wallace,300-738-8409,Massachusetts,Adams,Berkshire,Logan Well,8,2024-04-24 16:14:26
PR0003398,C01004,P0005750,1,47.05,Donna Boone,450-934-6281,North Carolina,Kitty Hawk,Dare,Gregory Loop,8236,2024-04-17 17:24:30
PR0004255,C00522,P0005780,3,32.31,William Morales,641-453-8801,Arizona,Black Canyon City,Yavapai,Joshua Bypass,3922,2024-04-30 19:21:57
PR0001357,C02466,P0005795,1,15.56,Daniel Nguyen,920-859-6648,Minnesota,Young America,Carver,Cole Fall,9392,2024-04-27 19:37:03
PR0005220,C05624,P0005817,1,17.95,Dana Andersen,498-930-5744,Ohio,Ontario,Richland,Hobbs Falls,74993,2024-05-03 03:37:27
PR0006377,C05360,P0005846,1,5.99,Lisa Cole,277-659-5398,West Virginia,Newhall,Mcdowell,Hall Views,83692,2024-05-07 15:32:30
PR0003730,C01135,P0006090,2,23.92,Cynthia Morris,924-272-8133,Alabama,Cedar Bluff,Cherokee,Lucas Fork,7671,2024-05-01 04:06:24
PR0008197,C00913,P0006106,1,20.35,Donna Morris,533-936-5941,Arizona,Fort Apache,Navajo,Wendy Hill,80,2024-04-18 09:51:52
PR0002172,C02504,P0006202,2,1005.74,Vickie Anderson,585-849-1662,New York,Chenango Bridge,Broome,Kirby Drive,2857,2024-05-07 14:27:38
PR0000216,C03522,P0006206,2,16.76,Kathryn Fletcher,692-827-2685,Texas,Rio Vista,Johnson,Huynh Groves,86236,2024-05-04 00:11:10
PR0008415,C03362,P0006294,5,53.85,Brian Brown,717-612-3044,Virginia,Tappahannock,Essex,Kelley Burg,8114,2024-05-08 00:17:44
PR0008236,C06074,P0006364,5,59.8,Jessica Smith,510-817-2117,Virginia,Fries,Grayson,Gordon Square,838,2024-05-07 05:18:34
PR0000253,C01581,P0006396,2,102.76,Matthew Mays,380-398-4289,Georgia,Senoia,Coweta,Castillo Parkways,32659,2024-05-05 22:33:17
PR0006570,C03978,P0006419,1,37.11,Timothy Moss,399-923-7660,Georgia,Newborn,Newton,Richard Passage,464,2024-05-15 15:58:24
PR0002819,C02264,P0006423,3,103.83,Walter Stewart,219-471-2512,Arkansas,Huttig,Union,Hood Street,5312,2024-04-24 10:09:28
PR0002702,C03497,P0006506,5,419.1,Lori Davis,551-282-3057,Mississippi,Thaxton,Pontotoc,Pace Place,23688,2024-04-20 00:55:41
PR0001254,C02655,P0006535,2,838.32,Steven Lee,510-761-3153,Pennsylvania,Mckeesport,Allegheny,Crawford Way,41240,2024-04-24 12:49:45
PR0001896,C03178,P0006648,1,5.39,Vanessa Lynch,548-271-3481,Washington,Marlin,Grant,Jones Heights,3577,2024-05-11 09:25:55
PR0006053,C01590,P0006809,2,14.34,Erica Castillo,652-221-5602,Texas,Forsan,Howard,Boyer Club,388,2024-04-17 19:23:32
PR0003564,C06420,P0006852,1,5.98,Todd Phillips,810-941-2669,Maine,Topsham,Sagadahoc,Santiago Corner,322,2024-04-19 16:33:31
PR0006165,C00835,P0006912,2,11.98,Katrina Richardson,664-441-2279,New Mexico,Santa Teresa,Dona Ana,Robertson Divide,335,2024-05-11 05:31:18
PR0008097,C06467,P0006924,1,311.26,Christopher Marsh,840-939-9977,New Jersey,Totowa,Passaic,Butler Plains,80727,2024-05-01 05:39:33
PR0005265,C05136,P0007087,1,22.74,Jordan Smith,835-357-4153,Indiana,Fowlerton,Grant,Thomas Manor,843,2024-05-14 11:09:14
PR0002860,C00030,P0007101,1,2.98,Sean Peters,897-295-5209,Ohio,Commercial Point,Pickaway,Cohen Viaduct,75080,2024-04-24 04:46:42
PR0000870,C05320,P0007106,1,15.56,Charlotte Barber,238-972-5854,Kansas,Alden,Rice,Bowers Key,59533,2024-05-15 22:17:18
PR0006903,C02027,P0007111,1,5.98,Colleen Wright,328-801-2570,Washington,Carlton,Okanogan,Cheryl Hills,2147,2024-05-09 00:16:55
PR0003312,C02456,P0007115,1,143.65,James Stevens,873-762-9174,Alabama,Goodsprings,Walker,Allison Plains,8889,2024-04-15 06:22:02
PR0003654,C04873,P0007190,3,14.34,Aaron Carlson,304-470-6832,Indiana,Rockfield,Carroll,Johnson Circles,4979,2024-04-26 11:53:16
PR0004387,C02624,P0007345,1,51.5,Jose Martin,827-445-3106,Tennessee,Kenton,Gibson,Kim Pine,657,2024-04-20 09:21:07
PR0002984,C00549,P0007351,5,41.85,Elizabeth Marshall DVM,261-911-1131,Pennsylvania,Bernville,Berks,Tara Pike,141,2024-04-17 01:14:50
PR0003442,C05488,P0007364,3,34.86,Glenn Collins DDS,699-743-8354,Vermont,Williamsville,Windham,Kenneth Lodge,55578,2024-05-06 18:48:39
PR0001130,C05342,P0007371,5,23.9,Danielle Thornton,268-525-7891,Iowa,Floyd,Floyd,Miller Place,569,2024-04-25 11:40:23
PR0002950,C06090,P0007446,1,35.93,Victoria Johnson,456-211-2151,Washington,Carlton,Okanogan,Ashley Plaza,318,2024-04-19 20:36:49
PR0002602,C00797,P0007453,3,35.88,Jessica Allen,202-469-6773,Connecticut,Stamford,Fairfield,Ross Summit,1554,2024-05-06 14:05:54
PR0007718,C01721,P0007518,1,11.96,Lori Wilkerson,573-830-4191,Utah,Huntsville,Weber,Nicole Ports,392,2024-04-22 02:51:55
PR0006357,C06327,P0007545,2,5.24,Patrick Yang,335-368-5287,Virginia,Drewryville,Southampton,Lucas Landing,76704,2024-05-10 13:26:41
PR0002369,C01373,P0007566,3,164.91,Melissa Jimenez,646-853-5541,South Carolina,Dale,Beaufort,Walter Valley,8593,2024-05-07 19:30:01
PR0005692,C06362,P0007620,1,41.62,Brent Stewart,827-200-3215,New York,Wading River,Suffolk,Morgan Square,4096,2024-04-15 04:46:26
PR0003555,C01751,P0007639,3,63.84,Alexander Mcneil MD,228-257-9071,New Jersey,Pennington,Mercer,Sampson Plains,8971,2024-05-13 17:45:02
PR0008350,C03864,P0007689,1,16.75,Sandra Nelson,382-320-1985,Nebraska,Sterling,Johnson,Debbie Points,96324,2024-05-15 06:41:33
PR0004870,C00719,P0007733,1,10.77,Alexander Brown,556-608-9613,Virginia,Crewe,Nottoway,Carl Ford,97367,2024-05-10 11:23:53
PR0001797,C00790,P0007764,1,10.77,Todd Thomas,453-770-6485,Nebraska,Kennard,Washington,Jerry Roads,17555,2024-05-03 18:41:18
PR0004613,C00133,P0007795,1,11.96,Ann Parker,363-320-1845,South Dakota,Oldham,Kingsbury,Ashley Terrace,696,2024-04-21 15:11:23
PR0001635,C02803,P0007808,1,119.75,Brittney Hernandez,600-832-2166,Mississippi,Corinth,Alcorn,Jackson Passage,232,2024-04-21 07:26:37
PR0003104,C02238,P0007830,1,11.96,William Evans,521-930-8374,Kentucky,Cecilia,Hardin,Michael Square,98070,2024-05-02 16:20:00
PR0007784,C03752,P0007833,2,69.44,Matthew Smith,228-547-5423,Oklahoma,Langston,Logan,Nathan Mission,44554,2024-04-25 22:01:02
PR0003721,C00889,P0007840,1,2.26,Christina Myers,324-670-5112,Washington,Glenwood,Klickitat,Lisa Track,62715,2024-05-08 00:36:34
PR0002479,C00462,P0007858,2,8.38,Sharon Crane,550-652-9437,Ohio,Coalton,Jackson,Taylor Via,8876,2024-04-28 21:38:44
PR0007363,C01222,P0007860,2,69.22,Adrian Dean,546-598-3078,Massachusetts,Cambridge,Middlesex,Jamie Keys,542,2024-05-06 18:51:55
PR0004658,C04708,P0007877,1,7.17,Deborah Quinn,644-756-6067,Kansas,Bonner Springs,Wyandotte,Amy Mountains,3836,2024-05-06 10:06:04
